Description	Resource	Path	Location	Type
#1393-D (MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	EXIT.c	/LCD_Calc/SRC	line 35	C/C++ Problem
#1393-D (MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	EXIT.c	/LCD_Calc/SRC	line 38	C/C++ Problem
#1393-D (MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness	EXIT.c	/LCD_Calc/SRC	line 42	C/C++ Problem
#1498-D (MISRA-C:2004 6.3/A) typedefs that indicate size and signedness should be used in place of the basic numerical types	LCD.h	/LCD_Calc/INC	line 48	C/C++ Problem
#1498-D (MISRA-C:2004 6.3/A) typedefs that indicate size and signedness should be used in place of the basic numerical types	Delay.h	/LCD_Calc/INC	line 12	C/C++ Problem
#1498-D (MISRA-C:2004 6.3/A) typedefs that indicate size and signedness should be used in place of the basic numerical types	Delay.h	/LCD_Calc/INC	line 11	C/C++ Problem
#1498-D (MISRA-C:2004 6.3/A) typedefs that indicate size and signedness should be used in place of the basic numerical types	DIO.h	/LCD_Calc/INC	line 33	C/C++ Problem
#1455-D (MISRA-C:2004 2.2/R) Source code shall only use /* ... */ style comments	tm4c123gh6pm.h	/LCD_Calc/INC	line 82	C/C++ Problem
#1455-D (MISRA-C:2004 2.2/R) Source code shall only use /* ... */ style comments	tm4c123gh6pm.h	/LCD_Calc/INC	line 83	C/C++ Problem
#1455-D (MISRA-C:2004 2.2/R) Source code shall only use /* ... */ style comments	tm4c123gh6pm.h	/LCD_Calc/INC	line 84	C/C++ Problem
#1455-D (MISRA-C:2004 2.2/R) Source code shall only use /* ... */ style comments	tm4c123gh6pm.h	/LCD_Calc/INC	line 85	C/C++ Problem
#1455-D (MISRA-C:2004 2.2/R) Source code shall only use /* ... */ style comments	tm4c123gh6pm.h	/LCD_Calc/INC	line 86	C/C++ Problem
#1455-D (MISRA-C:2004 2.2/R) Source code shall only use /* ... */ style comments	tm4c123gh6pm.h	/LCD_Calc/INC	line 87	C/C++ Problem
#1455-D (MISRA-C:2004 2.2/R) Source code shall only use /* ... */ style comments	tm4c123gh6pm.h	/LCD_Calc/INC	line 88	C/C++ Problem
#1455-D (MISRA-C:2004 2.2/R) Source code shall only use /* ... */ style comments	tm4c123gh6pm.h	/LCD_Calc/INC	line 89	C/C++ Problem
#1455-D (MISRA-C:2004 2.2/R) Source code shall only use /* ... */ style comments	tm4c123gh6pm.h	/LCD_Calc/INC	line 90	C/C++ Problem
#1455-D (MISRA-C:2004 2.2/R) Source code shall only use /* ... */ style comments	tm4c123gh6pm.h	/LCD_Calc/INC	line 91	C/C++ Problem
#1455-D (MISRA-C:2004 2.2/R) Source code shall only use /* ... */ style comments	tm4c123gh6pm.h	/LCD_Calc/INC	line 92	C/C++ Problem
#1455-D (MISRA-C:2004 2.2/R) Source code shall only use /* ... */ style comments	tm4c123gh6pm.h	/LCD_Calc/INC	line 93	C/C++ Problem
#1455-D (MISRA-C:2004 2.2/R) Source code shall only use /* ... */ style comments	tm4c123gh6pm.h	/LCD_Calc/INC	line 94	C/C++ Problem
#1455-D (MISRA-C:2004 2.2/R) Source code shall only use /* ... */ style comments	tm4c123gh6pm.h	/LCD_Calc/INC	line 95	C/C++ Problem
#1455-D (MISRA-C:2004 2.2/R) Source code shall only use /* ... */ style comments	tm4c123gh6pm.h	/LCD_Calc/INC	line 96	C/C++ Problem
#1455-D (MISRA-C:2004 2.2/R) Source code shall only use /* ... */ style comments	tm4c123gh6pm.h	/LCD_Calc/INC	line 97	C/C++ Problem
